Word,Negative,Positive,Uncertainty,Litigious,Strong,Weak,Constraining
ALMOST,0,0,1,0,0,1,0
ALTERATION,0,0,1,0,0,0,0
ALTERATIONS,0,0,1,0,0,0,0
ALWAYS,0,0,0,0,1,0,0
AMBIGUITIES,0,0,1,0,0,0,0
AMBIGUITY,0,0,1,0,0,0,0
AMBIGUOUS,0,0,1,0,0,0,0
AMEND,0,0,0,1,0,0,0
AMENDABLE,0,0,0,1,0,0,0
AMENDATORY,0,0,0,1,0,0,0
AMENDED,0,0,0,1,0,0,0
AMENDING,0,0,0,1,0,0,0
AMENDMENT,0,0,0,1,0,0,0
AMENDMENTS,0,0,0,1,0,0,0
AMENDS,0,0,0,1,0,0,0
ANNOY,1,0,0,0,0,0,0
ANNOYANCE,1,0,0,0,0,0,0
ANNOYANCES,1,0,0,0,0,0,0
ANNOYED,1,0,0,0,0,0,0
ANNOYING,1,0,0,0,0,0,0
ANNOYS,1,0,0,0,0,0,0
ANNUL,1,0,0,0,0,0,0
ANNULLED,1,0,0,0,0,0,0
ANNULLING,1,0,0,0,0,0,0
ANNULMENT,1,0,0,0,0,0,0
ANNULMENTS,1,0,0,0,0,0,0
ANNULS,1,0,0,0,0,0,0
ANOMALIES,1,0,1,0,0,0,0
ANOMALOUS,1,0,1,0,0,0,0
ANOMALOUSLY,1,0,1,0,0,0,0
ANOMALY,1,0,1,0,0,0,0
ANTECEDENT,0,0,0,1,0,0,0
ANTECEDENTS,0,0,0,1,0,0,0
ANTICIPATE,0,0,1,0,0,0,0
ANTICIPATED,0,0,1,0,0,0,0
ANTICIPATES,0,0,1,0,0,0,0
ANTICIPATING,0,0,1,0,0,0,0
ANTICIPATION,0,0,1,0,0,0,0
ANTICIPATIONS,0,0,1,0,0,0,0
ANTICOMPETITIVE,1,0,0,0,0,0,0
ANTICORRUPTION,0,0,0,1,0,0,0
ANTITRUST,1,0,0,1,0,0,0
ANYWISE,0,0,0,1,0,0,0
APPARENT,0,0,1,0,0,0,0
APPARENTLY,0,0,1,0,0,1,0
APPEAL,0,0,0,1,0,0,0
APPEALABLE,0,0,0,1,0,0,0
APPEALED,0,0,0,1,0,0,0
APPEALING,0,0,0,1,0,0,0
APPEALS,0,0,0,1,0,0,0
APPEAR,0,0,1,0,0,0,0
APPEARED,0,0,1,0,0,1,0
APPEARING,0,0,1,0,0,1,0
APPEARS,0,0,1,0,0,1,0
APPELLANT,0,0,0,1,0,0,0
APPELLANTS,0,0,0,1,0,0,0
APPELLATE,0,0,0,1,0,0,0
APPELLEES,0,0,0,1,0,0,0
APPOINTOR,0,0,0,1,0,0,0
APPROXIMATE,0,0,1,0,0,0,0
APPROXIMATED,0,0,1,0,0,0,0
APPROXIMATELY,0,0,1,0,0,0,0
APPROXIMATES,0,0,1,0,0,0,0
APPROXIMATING,0,0,1,0,0,0,0
APPROXIMATION,0,0,1,0,0,0,0
APPROXIMATIONS,0,0,1,0,0,0,0
APPURTENANCE,0,0,0,1,0,0,0
APPURTENANCES,0,0,0,1,0,0,0
APPURTENANT,0,0,0,1,0,0,0
ARBITRABILITY,0,0,0,1,0,0,0
ARBITRAL,0,0,0,1,0,0,0
ARBITRARILY,0,0,1,0,0,0,0
ARBITRARINESS,0,0,1,0,0,0,0
ARBITRARY,0,0,1,0,0,0,0
ARBITRATE,0,0,0,1,0,0,0
ARBITRATED,0,0,0,1,0,0,0
ARBITRATES,0,0,0,1,0,0,0
ARBITRATING,0,0,0,1,0,0,0
ARBITRATION,0,0,0,1,0,0,0
ARBITRATIONAL,0,0,0,1,0,0,0
ARBITRATIONS,0,0,0,1,0,0,0
ARBITRATIVE,0,0,0,1,0,0,0
ARBITRATOR,0,0,0,1,0,0,0
ARBITRATORS,0,0,0,1,0,0,0
ARGUE,1,0,0,0,0,0,0
ARGUED,1,0,0,0,0,0,0
ARGUING,1,0,0,0,0,0,0
ARGUMENT,1,0,0,0,0,0,0
ARGUMENTATIVE,1,0,0,0,0,0,0
ARGUMENTS,1,0,0,0,0,0,0
ARREARAGE,1,0,0,1,0,0,0
ARREARAGES,1,0,0,1,0,0,0
ARREARS,1,0,0,0,0,0,0
ARREST,1,0,0,0,0,0,0
ARRESTED,1,0,0,0,0,0,0
ARRESTS,1,0,0,0,0,0,0
ARTIFICIALLY,1,0,0,0,0,0,0
ASCENDANCY,0,0,0,1,0,0,0
ASCENDANT,0,0,0,1,0,0,0
ASCENDANTS,0,0,0,1,0,0,0
ASSAULT,1,0,0,0,0,0,0
ASSAULTED,1,0,0,0,0,0,0
ASSAULTING,1,0,0,0,0,0,0
ASSAULTS,1,0,0,0,0,0,0
ASSERTABLE,0,0,0,1,0,0,0
ASSERTIONS,1,0,0,0,0,0,0
ASSIGNATION,0,0,0,1,0,0,0
ASSIGNATIONS,0,0,0,1,0,0,0
ASSUMABLE,0,0,0,1,0,0,0
ASSUME,0,0,1,0,0,0,0
ASSUMED,0,0,1,0,0,0,0
ASSUMES,0,0,1,0,0,0,0
ASSUMING,0,0,1,0,0,0,0
ASSUMPTION,0,0,1,0,0,0,0
ASSUMPTIONS,0,0,1,0,0,0,0
ASSURE,0,1,0,0,0,0,0
ASSURED,0,1,0,0,0,0,0
ASSURES,0,1,0,0,0,0,0
ASSURING,0,1,0,0,0,0,0
ATTAIN,0,1,0,0,0,0,0
ATTAINED,0,1,0,0,0,0,0
ATTAINING,0,1,0,0,0,0,0
ATTAINMENT,0,1,0,0,0,0,0
ATTAINMENTS,0,1,0,0,0,0,0
ATTAINS,0,1,0,0,0,0,0
ATTEST,0,0,0,1,0,0,0
ATTESTATION,0,0,0,1,0,0,0
ATTESTATIONS,0,0,0,1,0,0,0
ATTESTED,0,0,0,1,0,0,0
ATTESTING,0,0,0,1,0,0,0
ATTORN,0,0,0,1,0,0,0
ATTORNEY,0,0,0,1,0,0,0
ATTORNEYS,0,0,0,1,0,0,0
ATTORNMENT,0,0,0,1,0,0,0
ATTORNS,0,0,0,1,0,0,0
ATTRACTIVE,0,1,0,0,0,0,0
ATTRACTIVENESS,0,1,0,0,0,0,0
ATTRITION,1,0,0,0,0,0,0
AVERSELY,1,0,0,0,0,0,0
BACKDATING,1,0,0,0,0,0,0
BAD,1,0,0,0,0,0,0
BAIL,1,0,0,1,0,0,0
BAILED,0,0,0,1,0,0,0
BAILEE,0,0,0,1,0,0,0
BAILEES,0,0,0,1,0,0,0
BAILIFF,0,0,0,1,0,0,0
BAILIFFS,0,0,0,1,0,0,0
BAILMENT,0,0,0,1,0,0,0
BAILOUT,1,0,0,0,0,0,0
BALK,1,0,0,0,0,0,0
BALKED,1,0,0,0,0,0,0
BANKRUPT,1,0,0,0,0,0,0
BANKRUPTCIES,1,0,0,0,0,0,0
BANKRUPTCY,1,0,0,0,0,0,0
BANKRUPTED,1,0,0,0,0,0,0
BANKRUPTING,1,0,0,0,0,0,0
BANKRUPTS,1,0,0,0,0,0,0
BANS,1,0,0,0,0,0,0
BARRED,1,0,0,0,0,0,0
BARRIER,1,0,0,0,0,0,0
BARRIERS,1,0,0,0,0,0,0
BEAUTIFUL,0,1,0,0,0,0,0
BEAUTIFULLY,0,1,0,0,0,0,0
BELIEVE,0,0,1,0,0,0,0
BELIEVED,0,0,1,0,0,0,0
BELIEVES,0,0,1,0,0,0,0
BELIEVING,0,0,1,0,0,0,0
BENEFICIAL,0,1,0,1,0,0,0
BENEFICIALLY,0,1,0,0,0,0,0
BENEFICIATED,0,0,0,1,0,0,0
BENEFICIATION,0,0,0,1,0,0,0
BENEFIT,0,1,0,0,0,0,0
BENEFITED,0,1,0,0,0,0,0
BENEFITING,0,1,0,0,0,0,0
BENEFITTED,0,1,0,0,0,0,0
BENEFITTING,0,1,0,0,0,0,0
BEST,0,1,0,0,1,0,0
BETTER,0,1,0,0,0,0,0
BOLSTERED,0,1,0,0,0,0,0
BOLSTERING,0,1,0,0,0,0,0
BOLSTERS,0,1,0,0,0,0,0
BONA,0,0,0,1,0,0,0
BONAFIDE,0,0,0,1,0,0,0
BOOM,0,1,0,0,0,0,0
BOOMING,0,1,0,0,0,0,0
BOOST,0,1,0,0,0,0,0
BOOSTED,0,1,0,0,0,0,0
BOTTLENECK,1,0,0,0,0,0,0
BOTTLENECKS,1,0,0,0,0,0,0
BOUND,0,0,0,0,0,0,1
BOUNDED,0,0,0,0,0,0,1
BOYCOTT,1,0,0,0,0,0,0
BOYCOTTED,1,0,0,0,0,0,0
BOYCOTTING,1,0,0,0,0,0,0
BOYCOTTS,1,0,0,0,0,0,0
BREACH,1,0,0,1,0,0,0
BREACHED,1,0,0,1,0,0,0
BREACHES,1,0,0,1,0,0,0
BREACHING,1,0,0,1,0,0,0
BREAK,1,0,0,0,0,0,0
BREAKAGE,1,0,0,0,0,0,0
BREAKAGES,1,0,0,0,0,0,0
BREAKDOWN,1,0,0,0,0,0,0
BREAKDOWNS,1,0,0,0,0,0,0
BREAKING,1,0,0,0,0,0,0
BREAKS,1,0,0,0,0,0,0
BREAKTHROUGH,0,1,0,0,0,0,0
BREAKTHROUGHS,0,1,0,0,0,0,0
BRIBE,1,0,0,0,0,0,0
BRIBED,1,0,0,0,0,0,0
BRIBERIES,1,0,0,0,0,0,0
BRIBERY,1,0,0,0,0,0,0
BRIBES,1,0,0,0,0,0,0
BRIBING,1,0,0,0,0,0,0
BRIDGE,1,0,0,0,0,0,0
BRILLIANT,0,1,0,0,0,0,0
BROKEN,1,0,0,0,0,0,0
BURDEN,1,0,0,0,0,0,0
BURDENED,1,0,0,0,0,0,0
BURDENING,1,0,0,0,0,0,0
BURDENS,1,0,0,0,0,0,0
BURDENSOME,1,0,0,0,0,0,0
BURNED,1,0,0,0,0,0,0
CALAMITIES,1,0,0,0,0,0,0
CALAMITOUS,1,0,0,0,0,0,0
CALAMITY,1,0,0,0,0,0,0
CANCEL,1,0,0,0,0,0,0
CANCELED,1,0,0,0,0,0,0
CANCELING,1,0,0,0,0,0,0
CANCELLATION,1,0,0,0,0,0,0
CANCELLATIONS,1,0,0,0,0,0,0
CANCELLED,1,0,0,0,0,0,0
CANCELLING,1,0,0,0,0,0,0
CANCELS,1,0,0,0,0,0,0
CARELESS,1,0,0,0,0,0,0
CARELESSLY,1,0,0,0,0,0,0
CARELESSNESS,1,0,0,0,0,0,0
CATASTROPHE,1,0,0,0,0,0,0
CATASTROPHES,1,0,0,0,0,0,0
CATASTROPHIC,1,0,0,0,0,0,0
CATASTROPHICALLY,1,0,0,0,0,0,0
CAUTION,1,0,0,0,0,0,0
CAUTIONARY,1,0,0,0,0,0,0
CAUTIONED,1,0,0,0,0,0,0
CAUTIONING,1,0,0,0,0,0,0
CAUTIONS,1,0,0,0,0,0,0
CAUTIOUS,0,0,1,0,0,0,0
CAUTIOUSLY,0,0,1,0,0,0,0
CAUTIOUSNESS,0,0,1,0,0,0,0
CEASE,1,0,0,0,0,0,0
CEASED,1,0,0,0,0,0,0
CEASES,1,0,0,0,0,0,0
CEASING,1,0,0,0,0,0,0
CEDANT,0,0,0,1,0,0,0
CEDANTS,0,0,0,1,0,0,0
CENSURE,1,0,0,0,0,0,0
CENSURED,1,0,0,0,0,0,0
CENSURES,1,0,0,0,0,0,0
CENSURING,1,0,0,0,0,0,0
CERTIORARI,0,0,0,1,0,0,0
CESSION,0,0,0,1,0,0,0
CHALLENGE,1,0,0,0,0,0,0
CHALLENGED,1,0,0,0,0,0,0
CHALLENGES,1,0,0,0,0,0,0
CHALLENGING,1,0,0,0,0,0,0
CHARGEOFFS,1,0,0,0,0,0,0
CHARITABLE,0,1,0,0,0,0,0
CHATTEL,0,0,0,1,0,0,0
CHATTELS,0,0,0,1,0,0,0
CHOATE,0,0,0,1,0,0,0
CIRCUMVENT,1,0,0,0,0,0,0
CIRCUMVENTED,1,0,0,0,0,0,0
CIRCUMVENTING,1,0,0,0,0,0,0
CIRCUMVENTION,1,0,0,0,0,0,0
CIRCUMVENTIONS,1,0,0,0,0,0,0
CIRCUMVENTS,1,0,0,0,0,0,0
CLAIM,0,0,0,1,0,0,0
CLAIMABLE,0,0,0,1,0,0,0
CLAIMANT,0,0,0,1,0,0,0
CLAIMANTS,0,0,0,1,0,0,0
CLAIMHOLDER,0,0,0,1,0,0,0
CLAIMING,1,0,0,0,0,0,0
CLAIMS,1,0,0,1,0,0,0
CLARIFICATION,0,0,1,0,0,0,0
CLARIFICATIONS,0,0,1,0,0,0,0
CLAWBACK,1,0,0,0,0,0,0
CLAWBACKS,0,0,0,1,0,0,0
CLEARLY,0,0,0,0,1,0,0
CLOSED,1,0,0,0,0,0,0
CLOSEOUT,1,0,0,0,0,0,0
CLOSEOUTS,1,0,0,0,0,0,0
CLOSING,1,0,0,0,0,0,0
CLOSINGS,1,0,0,0,0,0,0
CLOSURE,1,0,0,0,0,0,0
CLOSURES,1,0,0,0,0,0,0
CODEFENDANT,0,0,0,1,0,0,0
CODEFENDANTS,0,0,0,1,0,0,0
CODICIL,0,0,0,1,0,0,0
CODICILS,0,0,0,1,0,0,0
CODIFICATION,0,0,0,1,0,0,0
CODIFICATIONS,0,0,0,1,0,0,0
CODIFIED,0,0,0,1,0,0,0
CODIFIES,0,0,0,1,0,0,0
CODIFY,0,0,0,1,0,0,0
CODIFYING,0,0,0,1,0,0,0
COERCE,1,0,0,0,0,0,0
COERCED,1,0,0,0,0,0,0
COERCES,1,0,0,0,0,0,0
COERCING,1,0,0,0,0,0,0
COERCION,1,0,0,0,0,0,0
COERCIVE,1,0,0,0,0,0,0
COLLABORATE,0,1,0,0,0,0,0
COLLABORATED,0,1,0,0,0,0,0
COLLABORATES,0,1,0,0,0,0,0
COLLABORATING,0,1,0,0,0,0,0
COLLABORATION,0,1,0,0,0,0,0
COLLABORATIONS,0,1,0,0,0,0,0
COLLABORATIVE,0,1,0,0,0,0,0
COLLABORATOR,0,1,0,0,0,0,0
COLLABORATORS,0,1,0,0,0,0,0
COLLAPSE,1,0,0,0,0,0,0
COLLAPSED,1,0,0,0,0,0,0
COLLAPSES,1,0,0,0,0,0,0
COLLAPSING,1,0,0,0,0,0,0
COLLISION,1,0,0,0,0,0,0
COLLISIONS,1,0,0,0,0,0,0
COLLUDE,1,0,0,0,0,0,0
COLLUDED,1,0,0,0,0,0,0
COLLUDES,1,0,0,0,0,0,0
COLLUDING,1,0,0,0,0,0,0
COLLUSION,1,0,0,1,0,0,0
COLLUSIONS,1,0,0,0,0,0,0
COLLUSIVE,1,0,0,0,0,0,0
COMMIT,0,0,0,0,0,0,1
COMMITMENT,0,0,0,0,0,0,1
COMMITMENTS,0,0,0,0,0,0,1
COMMITS,0,0,0,0,0,0,1
COMMITTED,0,0,0,0,0,0,1
COMMITTING,0,0,0,0,0,0,1
COMPEL,0,0,0,0,0,0,1
COMPELLED,0,0,0,0,0,0,1
COMPELLING,0,0,0,0,0,0,1
COMPELS,0,0,0,0,0,0,1
COMPENSATORY,0,0,0,1,0,0,0
COMPLAIN,1,0,0,0,0,0,0
COMPLAINANT,0,0,0,1,0,0,0
COMPLAINANTS,0,0,0,1,0,0,0
COMPLAINED,1,0,0,0,0,0,0
COMPLAINING,1,0,0,0,0,0,0
COMPLAINS,1,0,0,0,0,0,0
COMPLAINT,1,0,0,0,0,0,0
COMPLAINTS,1,0,0,0,0,0,0
COMPLICATE,1,0,0,0,0,0,0
COMPLICATED,1,0,0,0,0,0,0
COMPLICATES,1,0,0,0,0,0,0
COMPLICATING,1,0,0,0,0,0,0
COMPLICATION,1,0,0,0,0,0,0
COMPLICATIONS,1,0,0,0,0,0,0
COMPLIMENT,0,1,0,0,0,0,0
COMPLIMENTARY,0,1,0,0,0,0,0
COMPLIMENTED,0,1,0,0,0,0,0
COMPLIMENTING,0,1,0,0,0,0,0
COMPLIMENTS,0,1,0,0,0,0,0
COMPLY,0,0,0,0,0,0,1
COMPULSION,1,0,0,0,0,0,1
COMPULSORY,0,0,0,0,0,0,1
CONCEALED,1,0,0,0,0,0,0
CONCEALING,1,0,0,0,0,0,0
CONCEDE,1,0,0,0,0,0,0
CONCEDED,1,0,0,0,0,0,0
CONCEDES,1,0,0,0,0,0,0
CONCEDING,1,0,0,0,0,0,0
CONCEIVABLE,0,0,1,0,0,1,0
CONCEIVABLY,0,0,1,0,0,0,0
CONCERN,1,0,0,0,0,0,0
CONCERNED,1,0,0,0,0,0,0
CONCERNS,1,0,0,0,0,0,0
CONCILIATING,1,0,0,0,0,0,0
CONCILIATION,1,0,0,0,0,0,0
CONCILIATIONS,1,0,0,0,0,0,0
CONCLUSIVE,0,1,0,0,0,0,0
CONCLUSIVELY,0,1,0,0,0,0,0
CONDEMN,1,0,0,0,0,0,0
CONDEMNATION,1,0,0,0,0,0,0
CONDEMNATIONS,1,0,0,0,0,0,0
CONDEMNED,1,0,0,0,0,0,0
CONDEMNING,1,0,0,0,0,0,0
CONDEMNOR,0,0,0,1,0,0,0
CONDEMNS,1,0,0,0,0,0,0
CONDITIONAL,0,0,1,0,0,0,0
CONDITIONALLY,0,0,1,0,0,0,0
CONDONE,1,0,0,0,0,0,0
CONDONED,1,0,0,0,0,0,0
CONDUCIVE,0,1,0,0,0,0,0
CONFESS,1,0,0,0,0,0,0
CONFESSED,1,0,0,0,0,0,0
CONFESSES,1,0,0,0,0,0,0
CONFESSING,1,0,0,0,0,0,0
CONFESSION,1,0,0,0,0,0,0
CONFIDENT,0,1,0,0,0,0,0
CONFINE,1,0,0,0,0,0,1
CONFINED,1,0,0,0,0,0,1
CONFINEMENT,1,0,0,0,0,0,1
CONFINEMENTS,1,0,0,0,0,0,0
CONFINES,1,0,0,0,0,0,1
CONFINING,1,0,0,0,0,0,1
CONFISCATE,1,0,0,0,0,0,0
CONFISCATED,1,0,0,0,0,0,0
CONFISCATES,1,0,0,0,0,0,0
CONFISCATING,1,0,0,0,0,0,0
CONFISCATION,1,0,0,0,0,0,0
CONFISCATIONS,1,0,0,0,0,0,0
CONFISCATORY,0,0,0,1,0,0,0
CONFLICT,1,0,0,0,0,0,0
CONFLICTED,1,0,0,0,0,0,0
CONFLICTING,1,0,0,0,0,0,0
CONFLICTS,1,0,0,0,0,0,0
CONFRONT,1,0,0,0,0,0,0
CONFRONTATION,1,0,0,0,0,0,0
CONFRONTATIONAL,1,0,0,0,0,0,0
CONFRONTATIONS,1,0,0,0,0,0,0
CONFRONTED,1,0,0,0,0,0,0
CONFRONTING,1,0,0,0,0,0,0
CONFRONTS,1,0,0,0,0,0,0
CONFUSE,1,0,0,0,0,0,0
CONFUSED,1,0,0,0,0,0,0
CONFUSES,1,0,1,0,0,0,0
CONFUSING,1,0,1,0,0,0,0
CONFUSINGLY,1,0,1,0,0,0,0
CONFUSION,1,0,1,0,0,0,0
CONSENT,0,0,0,1,0,0,0
CONSENTED,0,0,0,1,0,0,0
CONSENTING,0,0,0,1,0,0,0
CONSENTS,0,0,0,1,0,0,0
CONSERVATORSHIPS,0,0,0,1,0,0,0
CONSPIRACIES,1,0,0,0,0,0,0
CONSPIRACY,1,0,0,0,0,0,0
CONSPIRATOR,1,0,0,0,0,0,0
CONSPIRATORIAL,1,0,0,0,0,0,0
CONSPIRATORS,1,0,0,0,0,0,0
CONSPIRE,1,0,0,0,0,0,0
CONSPIRED,1,0,0,0,0,0,0
CONSPIRES,1,0,0,0,0,0,0
CONSPIRING,1,0,0,0,0,0,0
CONSTITUTION,0,0,0,1,0,0,0
CONSTITUTIONAL,0,0,0,1,0,0,0
CONSTITUTIONALITY,0,0,0,1,0,0,0
CONSTITUTIONALLY,0,0,0,1,0,0,0
CONSTITUTIONS,0,0,0,1,0,0,0
CONSTITUTIVE,0,0,0,1,0,0,0
CONSTRAIN,0,0,0,0,0,0,1
CONSTRAINED,0,0,0,0,0,0,1
CONSTRAINING,0,0,0,0,0,0,1
